50000	3.516
50000	2.408
50000	4.304
50000	3.102
50000	2.445
50000	4.829
50000	2.551
50000	2.295
50000	2.284
50000	2.336
100000	2.417
100000	2.509
100000	2.493
100000	2.503
100000	2.439
100000	2.477
100000	2.42
100000	2.548
100000	2.47
100000	2.453
150000	2.689
150000	2.783
150000	2.619
150000	2.625
150000	2.776
150000	2.642
150000	2.712
150000	2.65
150000	2.729
150000	2.665
200000	2.976
200000	2.813
200000	3.064
200000	2.938
200000	2.872
200000	3.013
200000	2.823
200000	2.961
200000	2.97
200000	3.001
250000	2.989
250000	2.978
250000	3.086
250000	3.932
250000	4.793
250000	3.967
250000	3.028
250000	3.185
250000	3.408
250000	4.372
300000	3.212
300000	3.127
300000	3.148
300000	3.184
300000	3.135
300000	3.027
300000	3.27
300000	3.038
300000	3.178
300000	3.11
